Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"BDS, MDS - Pedodontics",10 years experience,,"Shaikpet, Hyderabad",Dentist,Dental Fillings Crowns and Bridges Fixing Pit and Fissure Sealant,300
"BDS, MDS - Paedodontics And Preventive Dentistry",12 years experience,88%,"Marathahalli, Bangalore",Dentist,Pulpectomy Dental Fillings Crowns and Bridges Fixing,200
"MBBS, MD - General Medicine",16 years experience,79%,"Hitech City, Hyderabad",General Medicine,Infectious Disease Treatment Diabetes Management Filaria Treatment,600
MBBS,5 years experience,100%,"Poonamalle, Chennai",General Medicine,"100% 1 Feedback Poonamalle, Chennai",200
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, TFO (USA)",28 years experience,96%,"Kalyan Nagar, Bangalore",Dentist,Presurgical Orthodontics Dentofacial Orthopedics Jaw Orthopedics,500
BHMS,14 years experience,,"Dwarka, Delhi",Homeopath,,400
BHMS,6 years experience,,"South Extension 1, Delhi",Homeopath,,300
MBBS,26 years experience,,"Najafgarh, Delhi",General Medicine,,300
"BDS, Fellowship in Cosmetology",11 years experience,98%,"Ashok Nagar, Chennai",Dentist,Dental Fillings Zirconia Crowns Dental Implant Fixing,100
"MBBS, MS - ENT",30 years experience,60%,"Rajajinagar, Bangalore",ENT Specialist,"60% 5 Feedback Rajajinagar, Bangalore",300
"MBBS, MD - Dermatology",9 years experience,97%,"Jayanagar, Bangalore",Dermatologists,"97% 35 Feedback Jayanagar, Bangalore",550
"MBBS, MD - General Medicine",18 years experience,,"Kukatpally, Hyderabad",General Medicine,,200
"MBBS, MD - General Medicine, PG in Diabetology (USA), Fellowship in Diabetology",11 years experience,100%,"Jayanagar, Bangalore",General Medicine,"100% 5 Feedback Jayanagar, Bangalore",500
"MBBS, MD - General Medicine",8 years experience,,"Kothapet, Hyderabad",General Medicine,,350
BAMS,9 years experience,,"Rajouri Garden, Delhi",Ayurveda,,500
"BDS, MDS - Orthodontics and Orofacial Orthopaedics, Certification in Laser Dentistry, FICD",19 years experience,96%,"Adyar, Chennai",Dentist,Crowns and Bridges Fixing Acrylic Partial Denture Artificial Teeth,500
MBBS,18 years experience,,"Vijayanagar, Bangalore",General Medicine,,70
"MBBS, M.Med in Family Medicine",10 years experience,,"Uttarahalli, Bangalore",General Medicine,,150
BHMS,18 years experience,,"Attapur, Hyderabad",Homeopath,,150
BAMS,36 years experience,,"Mira Road, Mumbai",Ayurveda,,200
"BHMS, DIACH(Greece), Certificate Course in Advanced Homoeopathy (C.C.A.H)",12 years experience,100%,"Yelahanka, Bangalore",Homeopath,"100% 17 Feedback Yelahanka, Bangalore",250
MBBS,43 years experience,,"Andheri East, Mumbai",General Medicine,,350
"MS - ENT, MBBS",15 years experience,,"Bhayandar West, Mumbai",ENT Specialist,,300
"MD - Dermatology , Venereology & Leprosy, MBBS",12 years experience,98%,"Sembakkam, Chennai",Dermatologists,"98% 35 Feedback Sembakkam, Chennai",250
"BDS, MDS - Conservative Dentistry & Endodontics",6 years experience,,"Secunderabad, Hyderabad",Dentist,Impaction / Impacted Tooth Extraction Tooth Extraction Surgical Tooth Extraction,200
"BAMS, Certificate in Child Health (CCH), CGO",25 years experience,,"Bhandup East, Mumbai",Ayurveda,,70
MBBS,48 years experience,,"Laxmi Nagar, Delhi",General Medicine,,100
BDS,5 years experience,100%,"Ameerpet, Hyderabad",Dentist,Zirconia Crowns Dental Implant Fixing Dental Sleep Medicine (Snoring and Sleep Apnea Management),200
"MBBS, DDV",23 years experience,91%,"Alwarpet, Chennai",Dermatologists,Laser Hair Removal - Face Dermabrasion Acne / Pimples Treatment,400
"BAMS, MD - Ayurveda Medicine",42 years experience,,"Tarnaka, Hyderabad",Ayurveda,,100
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",39 years experience,,"Nandanam, Chennai",ENT Specialist,,100
"BHMS, MD - Homeopathy, Diploma in Hospital Administration",14 years experience,100%,"Gachibowli, Hyderabad",Homeopath,"100% 11 Feedback Gachibowli, Hyderabad",550
BHMS,14 years experience,,"Rajakilpakkam, Chennai",Homeopath,,200
MBBS,35 years experience,,"Saidapet, Chennai",General Medicine,,150
"MBBS, MD - General Medicine, DNB - General Medicine, FCCM, FCCP - Pulmonary Medicine",26 years experience,,"Nandanam, Chennai",General Medicine,,400
BDS,0 years experience,,"Sowripalayam, Coimbatore",Dentist,,100
"BHMS, MD - Homeopathy",11 years experience,,"Borivali East, Mumbai",Homeopath,"Borivali East, Mumbai ₹475₹5005% OFF* Available Today",100
BAMS,11 years experience,,"Tambaram West, Chennai",Ayurveda,,100
BHMS,12 years experience,,"Porur, Chennai",Homeopath,,150
"BDS, MDS - Oral & Maxillofacial Surgery",14 years experience,98%,"Marathahalli, Bangalore",Dentist,Cosmetic/ Aesthetic Dentistry Crowns and Bridges Fixing Tooth Extraction,200
"MBBS, DNB - ENT",34 years experience,74%,"Dilsukhnagar, Hyderabad",ENT Specialist,"74% 19 Feedback Dilsukhnagar, Hyderabad",300
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",38 years experience,,"Choolaimedu, Chennai",ENT Specialist,,300
"MD - Dermatology, DNB - Dermatology & Venereology, MBBS",17 years experience,97%,"Sarjapur Road, Bangalore",Dermatologists,"97% 47 Feedback Sarjapur Road, Bangalore",500
"MBBS, Diploma of the Faculty of Family Planning (DFFP), Diploma in Family Medicine (DFM), Diploma in Sports Therapy, MBA",18 years experience,90%,"Sarjapur Road, Bangalore",General Medicine,"90% 41 Feedback Sarjapur Road, Bangalore",350
"MBBS, DDV, DNB - Dermatology & Venereology, MD - Dermatology",16 years experience,99%,"Goregaon West, Mumbai",Dermatologists,"99% 37 Feedback Goregaon West, Mumbai",600
"MBBS, DDVL",10 years experience,,"Indiranagar, Bangalore",Dermatologists,Laser Hair Removal Treatment Acne / Pimples Treatment Hair Breakage,500
"BDS, Post graduate diploma in Hospital Management",12 years experience,99%,"Saravanampatti, Coimbatore",Dentist,"99% 7 Feedback Saravanampatti, Coimbatore",100
BAMS,15 years experience,,"Perungalathur, Chennai",Ayurveda,,200
"MBBS, MD - Dermatology",5 years experience,100%,"Gulabi Bagh, Delhi",Dermatologists,"100% 4 Feedback Gulabi Bagh, Delhi",250
"BAMS, MD - Ayurveda Medicine",7 years experience,,"Secunderabad, Hyderabad",Ayurveda,,300
MBBS,15 years experience,,"Goregaon West, Mumbai",General Medicine,,50
"MBBS, Diploma in Otorhinolaryngology (DLO)",32 years experience,,"Gujranwala Town, Delhi",ENT Specialist,,500
BDS,3 years experience,,"Vijayanagar, Bangalore",Dentist,"Vijayanagar, Bangalore Free Consultation Visits Today",100
BHMS,4 years experience,,"Malleswaram, Bangalore",Homeopath,,200
"MBBS, MS - ENT",28 years experience,,"Jasola, Delhi",ENT Specialist,,400
"MBBS, MD - Dermatology , Venereology & Leprosy, DVD",40 years experience,89%,"Bandra West, Mumbai",Dermatologists,"89% 46 Feedback Bandra West, Mumbai",100
"DNB, MS - ENT",19 years experience,,"Kandivali West, Mumbai",ENT Specialist,,500
"BDS, MDS - Paedodontics And Preventive Dentistry, Certification for Professional Chemical Peel Workshop",17 years experience,97%,"South Extension 1, Delhi",Dentist,"97% 246 Feedback South Extension 1, Delhi",400
BDS,3 years experience,,"Kandivali West, Mumbai",Dentist,"Kandivali West, Mumbai Free Consultation Visits Today",100
BAMS,19 years experience,96%,"JP Nagar 3 Phase, Bangalore",Ayurveda,"96% 3 Feedback JP Nagar 3 Phase, Bangalore",400
"MBBS, MD - Dermatology",9 years experience,95%,"Jubilee Hills, Hyderabad",Dermatologists,Medical Vitiligo Treatment Psoriasis Treatment Atopic Dermatitis Treatment,500
BDS,6 years experience,,"Ghatkopar East, Mumbai",Dentist,,100
BDS,12 years experience,,"Uppilipalayam, Coimbatore",Dentist,,100
BAMS,7 years experience,,"New Rajendra Nagar, Delhi",Ayurveda,,250
BAMS,18 years experience,,"Mira Bhayandar, Mumbai",Ayurveda,,100
"MD - Dermatology , Venereology & Leprosy, MBBS, MD - Dermatology, Certificate in Aesthetic Medicine",13 years experience,,"RT Nagar, Bangalore",Dermatologists,,500
"MBBS, MD - Dermatology, Diploma in Venereology",30 years experience,,"Lakdikapul, Hyderabad",Dermatologists,,200
"MD - Dermatology , Venereology & Leprosy, MBBS",8 years experience,100%,"Sadashivanagar, Bangalore",Dermatologists,"100% 8 Feedback Sadashivanagar, Bangalore",500
"MBBS, DDVL",16 years experience,93%,"Medavakkam, Chennai",Dermatologists,"93% 26 Feedback Medavakkam, Chennai",300
"BUMS, MD - Ayurveda Medicine",44 years experience,,"Santacruz East, Mumbai",Ayurveda,,100
MBBS,17 years experience,,"Madhapur, Hyderabad",General Medicine,,100
"MBBS, MD - Medicine",13 years experience,,"Rohini Sector 24, Delhi",General Medicine,,500
"BHMS, MS - Counselling & Psychotherapy",9 years experience,94%,"Nallakunta, Hyderabad",Homeopath,"94% 3 Feedback Nallakunta, Hyderabad",200
"MBBS, MD - Medicine, Post Graduate Diploma in Diabetology (PGDD)",21 years experience,97%,"Erragadda, Hyderabad",General Medicine,Infectious Disease Treatment Path Laboratory Electrocardiography (ECG),300
BAMS,21 years experience,,"Sun city, Hyderabad",Ayurveda,,200
"MBBS, Diploma in Otorhinolaryngology (DLO)",10 years experience,,"Whitefield, Bangalore",ENT Specialist,,500
BDS,44 years experience,100%,"Tarnaka, Hyderabad",Dentist,Crowns and Bridges Fixing Presurgical Orthodontics Invisible/Clear Braces,200
"MD - Ayurveda Medicine, BAMS",8 years experience,,"Muvattupuzha, Ernakulam",Ayurveda,,100
"MBBS, DDV",12 years experience,100%,"Ghatkopar East, Mumbai",Dermatologists,"100% 7 Feedback Ghatkopar East, Mumbai",700
"MBBS, Masters in Clinical Dermatology",14 years experience,98%,"Khan Market, Delhi",General Medicine,Aesthetic Dermatology Dermabrasion Acne / Pimples Treatment,700
MBBS,12 years experience,98%,"Jakkur, Bangalore",General Medicine,"98% 26 Feedback Jakkur, Bangalore",400
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",10 years experience,,"Sahakaranagar, Bangalore",General Medicine,,300
"MBBS, MD - Dermatology",11 years experience,,"Okhla, Delhi",Dermatologists,,700
"MBBS, MD - Medicine, PGCC - Rheumatology, Post Graduate Course in Diabetology",10 years experience,99%,"Malkajgiri, Hyderabad",General Medicine,"99% 37 Feedback Malkajgiri, Hyderabad",300
"MBBS, MD - Opthalmology",12 years experience,96%,"Abids, Hyderabad",General Medicine,"96% 34 Feedback Abids, Hyderabad",300
BAMS,24 years experience,,"Vanasthalipuram, Hyderabad",Ayurveda,,200
BHMS,11 years experience,,"Madhu Vihar, Delhi",Homeopath,,200
BAMS,11 years experience,,"Doddanekundi, Bangalore",Ayurveda,,300
"BAMS, MD - Kayachikitsalaya",23 years experience,,"Gachibowli, Hyderabad",Ayurveda,Panchakarma Chronic Pain Treatment Spondylosis,400
BHMS,17 years experience,,"New Friends Colony, Delhi",Homeopath,,100
MBBS,40 years experience,,"Santacruz West, Mumbai",General Medicine,,200
BDS,11 years experience,,"Mylapore, Chennai",Dentist,Dental Fillings Zirconia Crowns Scaling / Polishing,100
"BDS, MDS - Periodontics, MS - Implantolgy, Implantology ICOI(USA)",24 years experience,98%,"Marathahalli, Bangalore",Dentist,Dental Implant Fixing Tooth Extraction Impaction / Impacted Tooth Extraction,200
"MBBS, Diploma in Otorhinolaryngology (DLO)",16 years experience,,"Rajajinagar, Bangalore",ENT Specialist,,100
"MBBS, MD - Skin,VD & Leprosy",12 years experience,98%,"Madhapur, Hyderabad",Dermatologists,"98% 39 Feedback Madhapur, Hyderabad",400
BHMS,8 years experience,100%,"Paschim Vihar, Delhi",Homeopath,PCOD Fibro adenoma Kidney Stone Treatment,350
"BAMS, MD - Ayurveda Medicine",10 years experience,100%,"Nungambakkam, Chennai",Ayurveda,"100% 4 Feedback Nungambakkam, Chennai",500
"MBBS, MRCP (UK)",16 years experience,100%,"Geeta Colony, Delhi",General Medicine,"100% 14 Feedback Geeta Colony, Delhi",500
BAMS,19 years experience,,"Santacruz West, Mumbai",Ayurveda,,200
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",16 years experience,98%,"CV Raman Nagar, Bangalore",Dermatologists,"98% 38 Feedback CV Raman Nagar, Bangalore",400
"MBBS, MS - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO)",32 years experience,,"Tondiarpet, Chennai",ENT Specialist,,350
"MBBS, DNB - Otorhinolaryngology",31 years experience,,"Mahim, Mumbai",ENT Specialist,"Mahim, Mumbai ₹800 Available on Fri, 08 Feb",800
"BDS, MDS - Conservative Dentistry & Endodontics",10 years experience,100%,"Mathikere - BEL, Bangalore",Dentist,Zirconia Crowns Scaling / Polishing root canal treatment,200
BHMS,18 years experience,,"Madandapuram, Chennai",Homeopath,,200
BAMS,21 years experience,93%,"Rajajinagar, Bangalore",Ayurveda,"93% 15 Feedback Rajajinagar, Bangalore",150
BDS,12 years experience,98%,"Manikonda, Hyderabad",Dentist,Cosmetic/ Aesthetic Dentistry Crowns and Bridges Fixing Complete/Partial Dentures Fixing,200
"BDS, MDS - Orthodontics",8 years experience,,"Dwarka Sector 22, Delhi",Dentist,"Dwarka Sector 22, Delhi ₹300 Available Today",300
"MD - Dermatology , Venereology & Leprosy, MBBS",10 years experience,100%,"Ecil, Hyderabad",Dermatologists,"100% 11 Feedback Ecil, Hyderabad",200
BHMS,22 years experience,,"Grant Road, Mumbai",Homeopath,,500
"DM - Cardiology, MBBS",27 years experience,,"Paschim Vihar, Delhi",General Medicine,,550
"BHMS, Diploma in Diet and Nutrition",14 years experience,100%,"Kandivali East, Mumbai",Homeopath,"100% 17 Feedback Kandivali East, Mumbai",500
"MBBS, MD - Dermatology",7 years experience,97%,"KPHB, Hyderabad",Dermatologists,Acne / Pimples Treatment Wart Removal Laser Hair Removal - Face,500
"MBBS, Post Graduate Course in Diabetology, PGDHA, Certificate Course in Tuberculosis & Chest Diseases, Advanced Training Program in Diabetes Care, PhD in Liberal Studies in Diabetology (Trinity College)",23 years experience,91%,"Indiranagar, Bangalore",General Medicine,"91% 1 Feedback Indiranagar, Bangalore",500
"BAMS, MD - Ayurveda Medicine",23 years experience,,"Jeedimetla, Hyderabad",Ayurveda,,100
"BDS, MDS - Conservative Dentistry & Endodontics",12 years experience,100%,"Tambaram East, Chennai",Dentist,RCT - Single Sitting Dental Fillings Zirconia Crowns,100
"BDS, MDS - Conservative Dentistry & Endodontics",5 years experience,,"Janak Puri, Delhi",Dentist,"Janak Puri, Delhi ₹250 Visits Today",250
"MBBS, MD - Dermatology , Venereology & Leprosy",12 years experience,96%,"Vadapalani, Chennai",Dermatologists,"96% 31 Feedback Vadapalani, Chennai",300
"MD - Dermatology , Venereology & Leprosy, MBBS",3 years experience,,"Sarita Vihar, Delhi",Dermatologists,,100
"MBBS, MS - ENT",0 years experience,,"Banashankari, Bangalore",ENT Specialist,,350
"MBBS, MD - Dermatology , Venereology & Leprosy",10 years experience,,"Adyar, Chennai",Dermatologists,Dermabrasion Acne / Pimples Treatment Laser Resurfacing,500
BHMS,8 years experience,,"Electronics City, Bangalore",Homeopath,Skin Disease Treatment Migraine Treatment Gynae Problems,450
"MBBS, DNB - Family Medicine, CCEDM, CCMTD, CCDR",21 years experience,,"Indiranagar, Bangalore",General Medicine,"2 Feedback Indiranagar, Bangalore ₹500",500
"MBBS, DDV",13 years experience,,"Tilak Nagar, Delhi",Dermatologists,,400
MBBS,43 years experience,,"Greater Kailash Part 1, Delhi",General Medicine,,100
"BDS, MDS - Oral & Maxillofacial Surgery",42 years experience,,"Khar West, Mumbai",Dentist,Oral Rehabilitation Oral Surgery Procedures Oral & Maxillofacial Surgery,200
"MD - Dermatology , Venereology & Leprosy",0 years experience,,"Panampilly Nagar, Ernakulam",Dermatologists,,500
"MBBS, Diploma in Dermatology",21 years experience,100%,"Madipakkam, Chennai",Dermatologists,"100% 16 Feedback Madipakkam, Chennai",300
"MBBS, MD - Dermatology , Venereology & Leprosy",10 years experience,98%,"Chattarpur, Delhi",Dermatologists,"98% 109 Feedback Chattarpur, Delhi",500
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9 years experience,,"Mahim, Mumbai",Dentist,Oral & Maxillofacial Surgery Maxillofacial Trauma Lingual Orthodontics,800
LCEH,44 years experience,94%,"Matunga, Mumbai",Homeopath,"94% 19 Feedback Matunga, Mumbai",100
"MBBS, Diploma in Dermatology",36 years experience,,"Kothaguda, Hyderabad",Dermatologists,,100
"MBBS, DNB - ENT",17 years experience,100%,"Kalkaji, Delhi",ENT Specialist,"100% 26 Feedback Kalkaji, Delhi",500
"BAMS, MD - Ayurveda Medicine",7 years experience,,"Banjara Hills, Hyderabad",Ayurveda,,500
"MBBS, MD - Dermatology , Venereology & Leprosy",10 years experience,95%,"Bandra West, Mumbai",Dermatologists,"95% 10 Feedback Bandra West, Mumbai",100
"MBBS, MD - Medicine",44 years experience,,"Paschim Vihar, Delhi",General Medicine,,500
"BHMS, BSc - Zoology",10 years experience,,"Chanda Nagar, Hyderabad",Homeopath,Skin Allergy Treatment Allergy Treatment Viral Fever Treatment,200
MD - Homeopathy,32 years experience,,"Royapettah, Chennai",Homeopath,,100
BAMS,36 years experience,,"Wadala, Mumbai",Ayurveda,,100
"BDS, MDS - Periodontics, MDS - Implantology",18 years experience,95%,"Banjara Hills, Hyderabad",Dentist,Scaling / Polishing Dental Braces Fixing Teeth Whitening,300
"MBBS, MD - General Medicine",10 years experience,97%,"Rajajinagar, Bangalore",General Medicine,Physician Viral Fever Treatment Chickenpox Treatment,450
"BDS, MDS - Paedodontics And Preventive Dentistry",9 years experience,,"Hauz Khas, Delhi",Dentist,Pediatric Dentistry Cosmetic/ Aesthetic Dentistry preventive dentistry,500
"BDS, MDS - Oral Medicine and Radiology",12 years experience,96%,"Malleswaram, Bangalore",Dentist,Tooth Extraction Complete/Partial Dentures Fixing Dental Implant Fixing,100
"MBBS, Diploma in Otorhinolaryngology (DLO)",12 years experience,,"Palarivattom, Ernakulam",ENT Specialist,,200
BAMS,45 years experience,,"Malad East, Mumbai",Ayurveda,,50
"MD - Homeopathy, BHMS",18 years experience,98%,"Habsiguda, Hyderabad",Homeopath,Skin Disease Treatment Gall Bladder (Biliary) Stone Treatment Weight Loss Diet Counseling,400
"BAMS, MD - Ayurveda Medicine",31 years experience,,"Vanasthalipuram, Hyderabad",Ayurveda,,100
"BDS, MDS",12 years experience,100%,"Gachibowli, Hyderabad",Dentist,Conservative Dentistry Cosmetic/ Aesthetic Dentistry Teeth Reshaping,100
MBBS,42 years experience,,"Thoraipakkam, Chennai",General Medicine,,200
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, MRCP (UK)",8 years experience,,"Malleswaram, Bangalore",Dermatologists,,500
"MBBS, MD - Medicine",37 years experience,,"Breach Candy, Mumbai",General Medicine,,100
"BDS, MDS",10 years experience,,"Vasant Kunj, Delhi",Dentist,Braces Adjustment Laser Depigmentation Smile Design,500
"MBBS, MD - Obstetrics & Gynaecology, DGO",27 years experience,93%,"Indiranagar, Bangalore",General Medicine,"93% 135 Feedback Indiranagar, Bangalore",350
"MBBS, DNB - Dermatology & Venereology",15 years experience,,"Safdarjung Enclave, Delhi",Dermatologists,,100
